product_id,product_category_name,qty,total_price,freight_price,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_score,customers,weekday,weekend,holiday,month,year,s,volume,comp_1,ps1,fp1,comp_2,ps2,fp2,comp_3,ps3,fp3,lag_price,day,price_per_gram,freight_per_unit,price_to_total,qty_to_weight,comp_1_diff,comp_2_diff,comp_3_diff,comp_1_score_weighted,comp_2_score_weighted,comp_3_score_weighted,is_weekend,is_holiday,name_desc_ratio,photos_per_unit,log_qty,log_total_price,log_freight_price,log_product_weight_g,log_s,log_volume
bed1,bed_bath_table,1,45.95,15.1,39,161,2,350,4.0,57,23,8,1,5,2017,10.26739356,3800,89.9,3.9,15.01189655,215.0,4.4,8.76,45.95,4.0,15.1,45.9,1,0.13128571428571428,15.099849001509984,0.9999997823721909,0.0028571427755102064,-43.95,-169.05,0.0,0.04338153021340042,0.02046511532720394,0.08705112360149649,0,1,0.24223600979900559,1.9999800001999979,0.6931471805599453,3.849083205654272,2.7788192719904172,5.860786223465865,2.421913028899484,8.24301946898925
bed1,bed_bath_table,3,137.85,12.93333333,39,161,2,350,4.0,61,22,8,1,6,2017,6.503115265,3800,89.9,3.9,14.76921569,209.0,4.4,21.322,45.95,4.0,12.93333333,45.95,1,0.13128571428571428,4.311096739677534,0.3333333091524622,0.00857142832653062,-43.95,-163.05,0.0,0.04338153021340042,0.02105263057164447,0.08705112360149649,0,1,0.24223600979900559,0.6666644444518518,1.3862943611198906,4.933394213752808,2.6342840506233665,5.860786223465865,2.0153183029672475,8.24301946898925
bed1,bed_bath_table,6,275.7,14.84,39,161,2,350,4.0,123,21,10,1,7,2017,12.07165109,3800,89.9,3.9,13.99383333,205.0,4.4,22.1959322,45.95,4.0,14.84,45.95,1,0.13128571428571428,2.4733292111179814,0.1666666606214487,0.01714285665306124,-43.95,-159.05,0.0,0.04338153021340042,0.021463413587150558,0.08705112360149649,0,1,0.24223600979900559,0.33333277777870374,1.9459101490553132,5.62293388679288,2.7625383863862796,5.860786223465865,2.5704458463599567,8.24301946898925
bed1,bed_bath_table,4,183.8,14.2875,39,161,2,350,4.0,90,23,8,1,8,2017,9.293873313,3800,89.9,3.9,14.65675676,199.5098039,4.4,19.41288462,45.95,4.0,14.2875,45.95,1,0.13128571428571428,3.5718660703348246,0.2499999863982597,0.011428571102040826,-43.95,-153.55980390000002,0.0,0.04338153021340042,0.022054052951026287,0.08705112360149649,0,1,0.24223600979900559,0.49999875000312505,1.6094379124341003,5.2192741592075835,2.7270355010132907,5.860786223465865,2.3315488942770397,8.24301946898925
bed1,bed_bath_table,2,91.9,15.1,39,161,2,350,4.0,54,21,9,1,9,2017,5.555555556,3800,89.9,3.9,18.77652174,163.3987097,4.4,24.3246875,45.95,4.0,15.1,45.95,1,0.13128571428571428,7.549962250188749,0.49999994559304184,0.005714285551020413,-43.95,-117.44870970000001,0.0,0.04338153021340042,0.026927995568621337,0.08705112360149649,0,1,0.24223600979900559,0.9999950000249999,1.0986122886681098,4.531523645819793,2.7788192719904172,5.860786223465865,1.8803128666372966,8.24301946898925
bed1,bed_bath_table,3,137.85,15.1,39,161,2,350,4.0,50,22,9,2,10,2017,8.333333333,3800,89.9,3.9,21.57214286,45.95,4.0,15.1,45.95,4.0,15.1,45.95,1,0.13128571428571428,5.033316555611481,0.3333333091524622,0.00857142832653062,-43.95,0.0,0.0,0.04338153021340042,0.08705112360149649,0.08705112360149649,0,1,0.24223600979900559,0.6666644444518518,1.3862943611198906,4.933394213752808,2.7788192719904172,5.860786223465865,2.23359222147138,8.24301946898925
bed1,bed_bath_table,11,445.85,15.83272727,39,161,2,350,4.0,97,22,8,4,11,2017,30.55555556,3800,89.9,3.9,16.294,40.53181818,4.0,15.83272727,40.53181818,4.0,15.83272727,45.95,1,0.11580519480000001,1.4393375342386052,0.09090908886600677,0.03142857053061227,-49.368181820000004,0.0,0.0,0.04338153021340042,0.0986878751739542,0.0986878751739542,0,1,0.24223600979900559,0.1818180165290759,2.4849066497880004,6.102222967827401,2.823325043202677,5.860786223465865,3.451749660965832,8.24301946898925
bed1,bed_bath_table,6,239.94,15.23,39,161,2,350,4.0,41,21,10,1,12,2017,16.66666667,3800,88.48823529,3.9,18.89833333,39.99,4.0,15.23,39.99,4.0,15.23,40.53181818,1,0.11425714285714286,2.5383291027848287,0.16666665972048597,0.01714285665306124,-48.498235290000004,0.0,0.0,0.04407365054215553,0.10002498123906445,0.10002498123906445,0,1,0.24223600979900559,0.33333277777870374,1.9459101490553132,5.4845479398387065,2.7868613815264998,5.860786223465865,2.8716796250726913,8.24301946898925
bed1,bed_bath_table,19,759.81,16.53368421,39,161,2,350,4.0,62,23,8,2,1,2018,17.75700935,3800,86.9,3.9,19.38352941,39.99,4.0,16.53368421,39.99,4.0,16.53368421,39.99,1,0.11425714285714286,0.8701934477929223,0.05263157825467449,0.054285712734693924,-46.910000000000004,0.0,0.0,0.04487916629698891,0.10002498123906445,0.10002498123906445,0,1,0.24223600979900559,0.10526310249310396,2.995732273553991,6.634383655203684,2.864123842852504,5.860786223465865,2.931567514558647,8.24301946898925
bed1,bed_bath_table,18,719.82,13.74944444,39,161,2,350,4.0,62,20,8,2,2,2018,16.82242991,3800,86.9,3.9,19.20909091,39.99,4.0,13.74944444,39.99,4.0,13.74944444,39.99,1,0.11425714285714286,0.7638576000791111,0.05555555478375768,0.05142856995918372,-46.910000000000004,0.0,0.0,0.04487916629698891,0.10002498123906445,0.10002498123906445,0,1,0.24223600979900559,0.11111104938275035,2.9444389791664403,6.580389452857024,2.691205416991736,5.860786223465865,2.880457771332535,8.24301946898925
